1272-128104-0000	MISTER QUILTER IS THE APOSTLE OF THE MIDDLE CLASSES AND WE ARE GLAD TO WELCOME HIS GOSPEL
1650-167613-0007	PIERRE LOOKED AT TIMOKHIN WITH THE CONDESCENDINGLY INTERROGATIVE SMILE WITH WHICH EVERYBODY INVOLUNTARILY ADDRESSED THAT OFFICER
1650-167613-0008	WE SEE LIGHT AGAIN SINCE HIS SERENITY HAS BEEN APPOINTED YOUR EXCELLENCY SAID TIMOKHIN TIMIDLY AND CONTINUALLY TURNING TO GLANCE AT HIS COLONEL
1650-167613-0009	WHY SO ASKED PIERRE
1650-167613-0010	THEN WHY WAS IT FORBIDDEN
1650-167613-0011	AT SMOLENSK TOO HE JUDGED CORRECTLY THAT THE FRENCH MIGHT OUTFLANK US AS THEY HAD LARGER FORCES
1650-167613-0012	HE ORDERED US TO RETREAT AND ALL OUR EFFORTS AND LOSSES WENT FOR NOTHING
1650-167613-0013	SO IT HAS BEEN WITH BARCLAY
1650-167613-0014	WHILE RUSSIA WAS WELL A FOREIGNER COULD SERVE HER AND BE A SPLENDID MINISTER BUT AS SOON AS SHE IS IN DANGER SHE NEEDS ONE OF HER OWN KIN
1650-167613-0015	AND THEY SAY HE'S A SKILLFUL COMMANDER REJOINED PIERRE
1650-167613-0016	I DON'T UNDERSTAND WHAT IS MEANT BY A SKILLFUL COMMANDER REPLIED PRINCE ANDREW IRONICALLY
1650-167613-0017	A SKILLFUL COMMANDER REPLIED PIERRE
1650-167613-0018	PIERRE LOOKED AT HIM IN SURPRISE
1650-167613-0019	AND YET THEY SAY THAT WAR IS LIKE A GAME OF CHESS HE REMARKED
1650-167613-0020	THE RELATIVE STRENGTH OF BODIES OF TROOPS CAN NEVER BE KNOWN TO ANYONE
1650-167613-0021	SUCCESS NEVER DEPENDS AND NEVER WILL DEPEND ON POSITION OR EQUIPMENT OR EVEN ON NUMBERS AND LEAST OF ALL ON POSITION BUT ON WHAT THEN
1650-167613-0022	ON THE FEELING THAT IS IN ME AND IN HIM HE POINTED TO TIMOKHIN AND IN EACH SOLDIER
1650-167613-0023	A BATTLE IS WON BY THOSE WHO FIRMLY RESOLVE TO WIN IT
1650-167613-0024	WHY DID WE LOSE THE BATTLE AT AUSTERLITZ
1650-167613-0025	WE'VE LOST SO LET US RUN AND WE RAN
1650-167613-0026	BUT TOMORROW WE SHAN'T SAY IT
1650-167613-0027	BUT WHAT AWAITS US TOMORROW
1650-167613-0028	THE FACT IS THAT THOSE MEN WITH WHOM YOU HAVE RIDDEN ROUND THE POSITION NOT ONLY DO NOT HELP MATTERS BUT HINDER
1650-167613-0029	THAT'S THE TRUTH THE REAL TRUTH SAID TIMOKHIN
1650-167613-0030	IT'S NOT THE DAY FOR THAT THEY SAY
1650-167613-0031	ALL WERE SILENT THE OFFICERS ROSE
1650-167613-0032	YES YES ANSWERED PRINCE ANDREW ABSENTLY
1650-167613-0033	THE FRENCH HAVE DESTROYED MY HOME AND ARE ON THEIR WAY TO DESTROY MOSCOW THEY HAVE OUTRAGED AND ARE OUTRAGING ME EVERY MOMENT THEY ARE MY ENEMIES
1650-167613-0034	IN MY OPINION THEY ARE ALL CRIMINALS
1650-167613-0035	AND SO THINKS TIMOKHIN AND THE WHOLE ARMY
1650-167613-0036	SINCE THEY ARE MY FOES THEY CANNOT BE MY FRIENDS WHATEVER MAY HAVE BEEN SAID AT TILSIT
1650-167613-0037	YES YES MUTTERED PIERRE LOOKING WITH SHINING EYES AT PRINCE ANDREW
1650-167613-0038	THEY TALK TO US OF THE RULES OF WAR OF CHIVALRY OF FLAGS OF TRUCE OF MERCY TO THE UNFORTUNATE AND SO ON IT'S ALL RUBBISH
1650-167613-0039	THEY PLUNDER OTHER PEOPLE'S HOUSES ISSUE FALSE PAPER MONEY AND WORST OF ALL THEY KILL MY CHILDREN AND MY FATHER AND THEN TALK OF RULES OF WAR AND MAGNANIMITY TO FOES
1650-167613-0040	TAKE NO PRISONERS BUT KILL AND BE KILLED
1650-167613-0041	PRINCE ANDREW WHO HAD THOUGHT IT WAS ALL THE SAME TO HIM WHETHER OR NOT MOSCOW WAS TAKEN AS SMOLENSK HAD BEEN WAS SUDDENLY CHECKED IN HIS SPEECH BY AN UNEXPECTED CRAMP IN HIS THROAT
1650-167613-0042	HE PACED UP AND DOWN A FEW TIMES IN SILENCE BUT HIS EYES GLITTERED FEVERISHLY AND HIS LIPS QUIVERED AS HE BEGAN SPEAKING
1650-167613-0043	AND WHEN THERE WAS A WAR LIKE THIS ONE IT WOULD BE WAR
1650-167613-0044	WHAT IS NEEDED FOR SUCCESS IN WARFARE
1650-167613-0045	AND IN SPITE OF ALL THIS IT IS THE HIGHEST CLASS RESPECTED BY EVERYONE
1650-167613-0046	HOW DOES GOD ABOVE LOOK AT THEM AND HEAR THEM
1650-167613-0047	I SEE THAT I HAVE BEGUN TO UNDERSTAND TOO MUCH
1650-167613-0048	AND IT DOESN'T DO FOR MAN TO TASTE OF THE TREE OF KNOWLEDGE OF GOOD AND EVIL AH WELL IT'S NOT FOR LONG HE ADDED
1650-167613-0049	HOWEVER YOU'RE SLEEPY AND IT'S TIME FOR ME TO SLEEP
1650-167613-0050	GO BACK TO GORKI SAID PRINCE ANDREW SUDDENLY
1650-167613-0051	GO GO BEFORE A BATTLE ONE MUST HAVE ONE'S SLEEP OUT REPEATED PRINCE ANDREW
1650-167613-0052	NO HE DOES NOT WANT IT PIERRE CONCLUDED
1650-167613-0053	AND I KNOW THAT THIS IS OUR LAST MEETING
1650-167613-0054	ONE PICTURE SUCCEEDED ANOTHER IN HIS IMAGINATION
1650-167613-0055	ON ONE OF THEM HE DWELT LONG AND JOYFULLY
1650-173551-0000	HIS MAJOR DOMO CAME IN A SECOND TIME TO SAY THAT THE FRENCHMAN WHO HAD BROUGHT THE LETTER FROM THE COUNTESS WAS VERY ANXIOUS TO SEE HIM IF ONLY FOR A MINUTE AND THAT SOMEONE FROM BAZDEEV'S WIDOW HAD CALLED TO ASK PIERRE TO TAKE CHARGE OF HER HUSBAND'S BOOKS AS SHE HERSELF WAS LEAVING FOR THE COUNTRY
1650-173551-0001	THERE WAS NO ONE IN THE PASSAGE
1650-173551-0002	THE HALL PORTER WAS STANDING AT THE FRONT DOOR
1650-173551-0003	FROM THE LANDING WHERE PIERRE STOOD THERE WAS A SECOND STAIRCASE LEADING TO THE BACK ENTRANCE
1650-173551-0004	HE WENT DOWN THAT STAIRCASE AND OUT INTO THE YARD NO ONE HAD SEEN HIM
1650-173551-0005	WHEN HE FELT HE WAS BEING LOOKED AT HE BEHAVED LIKE AN OSTRICH WHICH HIDES ITS HEAD IN A BUSH IN ORDER NOT TO BE SEEN HE HUNG HIS HEAD AND QUICKENING HIS PACE WENT DOWN THE STREET
1650-173551-0006	HE HIRED THE FIRST CAB HE MET AND TOLD THE DRIVER TO GO TO THE PATRIARCH'S PONDS WHERE THE WIDOW BAZDEEV'S HOUSE WAS
1650-173551-0007	THIS WAS THE AUTHENTIC SCOTCH ACTS WITH BAZDEEV'S NOTES AND EXPLANATIONS
1650-173551-0008	HE SAT DOWN AT THE DUSTY WRITING TABLE AND HAVING LAID THE MANUSCRIPTS BEFORE HIM OPENED THEM OUT CLOSED THEM FINALLY PUSHED THEM AWAY AND RESTING HIS HEAD ON HIS HAND SANK INTO MEDITATION
1650-173551-0009	MAKAR ALEXEEVICH CAME TWICE THAT EVENING SHUFFLING ALONG IN HIS GALOSHES AS FAR AS THE DOOR AND STOPPED AND LOOKED INGRATIATINGLY AT PIERRE
1650-173552-0000	AT THAT VERY TIME AT TEN IN THE MORNING OF THE SECOND OF SEPTEMBER NAPOLEON WAS STANDING AMONG HIS TROOPS ON THE POKLONNY HILL LOOKING AT THE PANORAMA SPREAD OUT BEFORE HIM
1650-173552-0001	THE BRIGHTNESS OF THE MORNING WAS MAGICAL
1650-173552-0002	BUT MY CLEMENCY IS ALWAYS READY TO DESCEND UPON THE VANQUISHED
1650-173552-0003	YET HERE SHE IS LYING AT MY FEET WITH HER GOLDEN DOMES AND CROSSES SCINTILLATING AND TWINKLING IN THE SUNSHINE
1650-173552-0004	BUT I SHALL SPARE HER
1650-173552-0005	FROM THE HEIGHT OF THE KREMLIN YES THERE IS THE KREMLIN YES I WILL GIVE THEM JUST LAWS I WILL TEACH THEM THE MEANING OF TRUE CIVILIZATION I WILL MAKE GENERATIONS OF BOYARS REMEMBER THEIR CONQUEROR WITH LOVE
1650-173552-0006	I WILL TELL THE DEPUTATION THAT I DID NOT AND DO NOT DESIRE WAR THAT I HAVE WAGED WAR ONLY AGAINST THE FALSE POLICY OF THEIR COURT THAT I LOVE AND RESPECT ALEXANDER AND THAT IN MOSCOW I WILL ACCEPT TERMS OF PEACE WORTHY OF MYSELF AND OF MY PEOPLE
1650-173552-0007	I DO NOT WISH TO UTILIZE THE FORTUNES OF WAR TO HUMILIATE AN HONORED MONARCH
1650-173552-0008	HE WILL HAVE TO BE TOLD ALL THE SAME SAID SOME GENTLEMEN OF THE SUITE BUT GENTLEMEN
1650-173552-0009	A SINGLE REPORT OF A SIGNALING GUN FOLLOWED AND THE TROOPS WHO WERE ALREADY SPREAD OUT ON DIFFERENT SIDES OF MOSCOW MOVED INTO THE CITY THROUGH TVER KALUGA AND DOROGOMILOV GATES
1686-142278-0000	HE WAS GONE
1686-142278-0001	NO MORE DEEP BLUE SKIES OR CRIMSON AND AMBER TINTS
1686-142278-0002	SHE SAT BY HERSELF AT THE FIRE WITH UNLIGHTED CANDLES ON THE TABLE BEHIND HER THINKING OVER THE DAY THE HAPPY WALK HAPPY SKETCHING CHEERFUL PLEASANT DINNER AND THE UNCOMFORTABLE MISERABLE WALK IN THE GARDEN
1686-142278-0003	HERE WAS SHE DISTURBED AND UNHAPPY BECAUSE HER INSTINCT HAD MADE ANYTHING BUT A REFUSAL IMPOSSIBLE WHILE HE NOT MANY MINUTES AFTER HE HAD MET WITH A REJECTION OF WHAT OUGHT TO HAVE BEEN THE DEEPEST HOLIEST PROPOSAL OF HIS LIFE COULD SPEAK AS IF BRIEFS SUCCESS AND ALL ITS SUPERFICIAL CONSEQUENCES OF A GOOD HOUSE CLEVER AND AGREEABLE SOCIETY WERE THE SOLE AVOWED OBJECTS OF HIS DESIRES OH DEAR
1686-142278-0004	HER MOTHER CAME INTO THE ROOM BEFORE THIS WHIRL OF THOUGHTS WAS ADJUSTED INTO ANYTHING LIKE ORDER
1686-142278-0005	MISTER HALE SIPPED HIS TEA IN ABSTRACTED SILENCE MARGARET HAD THE RESPONSES ALL TO HERSELF
1686-142278-0006	SHE FORGOT THAT HE HAD NOT MADE THEM AN OFFER
1686-142278-0007	MARGARET WAS PREPARING HER MOTHER'S WORSTED WORK AND RATHER SHRINKING FROM THE THOUGHT OF THE LONG EVENING AND WISHING BED TIME WERE COME THAT SHE MIGHT GO OVER THE EVENTS OF THE DAY AGAIN
1686-142278-0008	MARGARET
1686-142278-0009	I WANT TO SPEAK TO YOU ABOUT SOMETHING VERY SERIOUS TO US ALL
1686-142278-0010	VERY SERIOUS TO US ALL
1686-142278-0011	MISTER LENNOX HAD NEVER HAD THE OPPORTUNITY OF HAVING ANY PRIVATE CONVERSATION WITH HER FATHER AFTER HER REFUSAL OR ELSE THAT WOULD INDEED BE A VERY SERIOUS AFFAIR
1686-142278-0012	BUT SHE SOON FELT IT WAS NOT ABOUT ANYTHING WHICH HAVING ONLY LATELY AND SUDDENLY OCCURRED COULD HAVE GIVEN RISE TO ANY COMPLICATED THOUGHTS THAT HER FATHER WISHED TO SPEAK TO HER
1686-142278-0013	MISTER HALE DID NOT ANSWER FOR A MINUTE OR TWO
1686-142278-0014	MARGARET COULD NOT BEAR THE SIGHT OF THE SUSPENSE WHICH WAS EVEN MORE DISTRESSING TO HER FATHER THAN TO HERSELF
1686-142278-0015	BUT WHY DEAR PAPA DO TELL ME
1686-142278-0016	BECAUSE I MUST NO LONGER BE A MINISTER IN THE CHURCH OF ENGLAND
1686-142278-0017	BUT NOTHING TO THE SHOCK SHE RECEIVED FROM MISTER HALE'S LAST SPEECH WHAT COULD HE MEAN
1686-142278-0018	IT WAS ALL THE WORSE FOR BEING SO MYSTERIOUS
1686-142278-0019	WHY CAN YOU NO LONGER BE A CLERGYMAN
1686-142278-0020	SURELY IF THE BISHOP WERE TOLD ALL WE KNOW ABOUT FREDERICK AND THE HARD UNJUST
1686-142278-0021	MARGARET I WILL TELL YOU ABOUT IT
1686-142278-0022	I WILL ANSWER ANY QUESTIONS THIS ONCE BUT AFTER TO NIGHT LET US NEVER SPEAK OF IT AGAIN
1686-142278-0023	I CAN MEET THE CONSEQUENCES OF MY PAINFUL MISERABLE DOUBTS BUT IT IS AN EFFORT BEYOND ME TO SPEAK OF WHAT HAS CAUSED ME SO MUCH SUFFERING
1686-142278-0024	NO NOT DOUBTS AS TO RELIGION NOT THE SLIGHTEST INJURY TO THAT HE PAUSED
1686-142278-0025	MARGARET SIGHED AS IF STANDING ON THE VERGE OF SOME NEW HORROR
1686-142278-0026	MARGARET HOW I LOVE THE HOLY CHURCH FROM WHICH I AM TO BE SHUT OUT
1686-142278-0027	HE COULD NOT GO ON FOR A MOMENT OR TWO
1686-142278-0028	MARGARET COULD NOT TELL WHAT TO SAY IT SEEMED TO HER AS TERRIBLY MYSTERIOUS AS IF HER FATHER WERE ABOUT TO TURN MAHOMETAN
1686-142278-0029	THE ONE STAID FOUNDATION OF HER HOME OF HER IDEA OF HER BELOVED FATHER SEEMED REELING AND ROCKING
1686-142278-0030	HE SWALLOWED DOWN THE DRY CHOKING SOBS WHICH HAD BEEN HEAVING UP FROM HIS HEART HITHERTO AND GOING TO HIS BOOKCASE HE TOOK DOWN A VOLUME WHICH HE HAD OFTEN BEEN READING LATELY AND FROM WHICH HE THOUGHT HE HAD DERIVED STRENGTH TO ENTER UPON THE COURSE IN WHICH HE WAS NOW EMBARKED
1686-142278-0031	LISTEN DEAR MARGARET SAID HE PUTTING ONE ARM ROUND HER WAIST
1686-142278-0032	WHEN GOD WILL NOT USE THEE IN ONE KIND YET HE WILL IN ANOTHER
1686-142278-0033	IF WHEN THOU ART CHARGED WITH CORRUPTING GOD'S WORSHIP FALSIFYING THY VOWS THOU PRETENDEST A NECESSITY FOR IT IN ORDER TO A CONTINUANCE IN THE MINISTRY
1686-142278-0034	AS HE READ THIS AND GLANCED AT MUCH MORE WHICH HE DID NOT READ HE GAINED RESOLUTION FOR HIMSELF AND FELT AS IF HE TOO COULD BE BRAVE AND FIRM IN DOING WHAT HE BELIEVED TO BE RIGHT BUT AS HE CEASED HE HEARD MARGARET'S LOW CONVULSIVE SOB AND HIS COURAGE SANK DOWN UNDER THE KEEN SENSE OF SUFFERING
1686-142278-0035	I HAVE BORNE LONG WITH SELF REPROACH THAT WOULD HAVE ROUSED ANY MIND LESS TORPID AND COWARDLY THAN MINE
1686-142278-0036	HE SHOOK HIS HEAD AS HE WENT ON
1686-142278-0037	MARGARET I TRIED TO DO IT I TRIED TO CONTENT MYSELF WITH SIMPLY REFUSING THE ADDITIONAL PREFERMENT AND STOPPING QUIETLY HERE STRANGLING MY CONSCIENCE NOW AS I HAD STRAINED IT BEFORE
1686-142278-0038	GOD FORGIVE ME
1686-142278-0039	HE ROSE AND WALKED UP AND DOWN THE ROOM SPEAKING LOW WORDS OF SELF REPROACH AND HUMILIATION OF WHICH MARGARET WAS THANKFUL TO HEAR BUT FEW
1686-142278-0040	MARGARET I RETURN TO THE OLD SAD BURDEN WE MUST LEAVE HELSTONE
1686-142278-0041	YES
1686-142278-0042	I HAVE WRITTEN TO THE BISHOP I DARE SAY I HAVE TOLD YOU SO BUT I FORGET THINGS JUST NOW SAID MISTER HALE COLLAPSING INTO HIS DEPRESSED MANNER AS SOON AS HE CAME TO TALK OF HARD MATTER OF FACT DETAILS INFORMING HIM OF MY INTENTION TO RESIGN THIS VICARAGE
1686-142278-0043	THEY ARE BUT WHAT I HAVE TRIED UPON MYSELF WITHOUT AVAIL
1686-142278-0044	THAT WILL BE A TRIAL BUT WORSE FAR WORSE WILL BE THE PARTING FROM MY DEAR PEOPLE
1686-142278-0045	HE WILL COME TO STAY WITH US TO MORROW
1686-142278-0046	WAS IT TO BE SO SUDDEN THEN
1686-142278-0047	WHAT DOES MAMMA SAY
1686-142278-0048	MARGARET I AM A POOR COWARD AFTER ALL I CANNOT BEAR TO GIVE PAIN
1686-142278-0049	YES INDEED SHE MUST SAID MARGARET
1686-142278-0050	PERHAPS AFTER ALL SHE MAY NOT OH YES
1686-142278-0051	SHE WILL SHE MUST BE SHOCKED' AS THE FORCE OF THE BLOW RETURNED UPON HERSELF IN TRYING TO REALISE HOW ANOTHER WOULD TAKE IT
1686-142278-0052	TO MILTON NORTHERN HE ANSWERED WITH A DULL INDIFFERENCE FOR HE HAD PERCEIVED THAT ALTHOUGH HIS DAUGHTER'S LOVE HAD MADE HER CLING TO HIM AND FOR A MOMENT STRIVE TO SOOTHE HIM WITH HER LOVE YET THE KEENNESS OF THE PAIN WAS AS FRESH AS EVER IN HER MIND
1686-142278-0053	MILTON NORTHERN
1686-142278-0054	YES SAID HE IN THE SAME DESPONDENT INDIFFERENT WAY
1686-142278-0055	BUT HE WITH HIS QUICK INTUITIVE SYMPATHY READ IN HER FACE AS IN A MIRROR THE REFLECTIONS OF HIS OWN MOODY DEPRESSION AND TURNED IT OFF WITH AN EFFORT
1686-142278-0056	YOU SHALL BE TOLD ALL MARGARET
1686-142278-0057	ONLY HELP ME TO TELL YOUR MOTHER
1686-142278-0058	I AM GOING OUT FOR THE DAY TO BID FARMER DOBSON AND THE POOR PEOPLE ON BRACY COMMON GOOD BYE
1686-142278-0059	WOULD YOU DISLIKE BREAKING IT TO HER VERY MUCH MARGARET
1686-142278-0060	MARGARET DID DISLIKE IT DID SHRINK FROM IT MORE THAN FROM ANYTHING SHE HAD EVER HAD TO DO IN HER LIFE BEFORE
1686-142278-0061	MISTER HALE SHOOK HIS HEAD DESPONDINGLY HE PRESSED HER HAND IN TOKEN OF GRATITUDE
1686-142278-0062	MARGARET WAS NEARLY UPSET AGAIN INTO A BURST OF CRYING
1686-142278-0063	TO TURN HER THOUGHTS SHE SAID NOW TELL ME PAPA WHAT OUR PLANS ARE
1686-142278-0064	YOU AND MAMMA HAVE SOME MONEY INDEPENDENT OF THE INCOME FROM THE LIVING HAVE NOT YOU AUNT SHAW HAS I KNOW
1686-142278-0065	SEVENTY OF THAT HAS ALWAYS GONE TO FREDERICK SINCE HE HAS BEEN ABROAD
1686-142278-0066	HE MUST HAVE SOME PAY FOR SERVING WITH THE SPANISH ARMY
1686-142278-0067	FREDERICK MUST NOT SUFFER SAID MARGARET DECIDEDLY IN A FOREIGN COUNTRY SO UNJUSTLY TREATED BY HIS OWN A HUNDRED IS LEFT
1686-142278-0068	NO
1686-142278-0069	SAID MISTER HALE THAT WOULD NOT ANSWER I MUST DO SOMETHING
1686-142278-0070	I CAN ALWAYS DECIDE BETTER BY MYSELF AND NOT INFLUENCED BY THOSE WHOM I LOVE SAID HE AS A HALF APOLOGY FOR HAVING ARRANGED SO MUCH BEFORE HE HAD TOLD ANY ONE OF HIS FAMILY OF HIS INTENTIONS
1686-142278-0071	I CANNOT STAND OBJECTIONS
1686-142278-0072	THEY MAKE ME SO UNDECIDED
1686-142278-0073	MISTER HALE CONTINUED A FEW MONTHS AGO WHEN MY MISERY OF DOUBT BECAME MORE THAN I COULD BEAR WITHOUT SPEAKING I WROTE TO MISTER BELL YOU REMEMBER MISTER BELL MARGARET
1686-142278-0074	NO I NEVER SAW HIM I THINK
1686-142278-0075	AT ANY RATE HE HAS PROPERTY THERE WHICH HAS VERY MUCH INCREASED IN VALUE SINCE MILTON HAS BECOME SUCH A LARGE MANUFACTURING TOWN
1686-142278-0076	I DON'T KNOW THAT HE GAVE ME MUCH STRENGTH
1686-142278-0077	A PRIVATE TUTOR
1686-142278-0078	SAID MARGARET LOOKING SCORNFUL WHAT IN THE WORLD DO MANUFACTURERS WANT WITH THE CLASSICS OR LITERATURE OR THE ACCOMPLISHMENTS OF A GENTLEMAN
1686-142278-0079	OH SAID HER FATHER SOME OF THEM REALLY SEEM TO BE FINE FELLOWS CONSCIOUS OF THEIR OWN DEFICIENCIES WHICH IS MORE THAN MANY A MAN AT OXFORD IS
1686-142278-0080	SOME WANT THEIR CHILDREN TO BE BETTER INSTRUCTED THAN THEY THEMSELVES HAVE BEEN
1686-142278-0081	AND IN MILTON MARGARET I SHALL FIND A BUSY LIFE IF NOT A HAPPY ONE AND PEOPLE AND SCENES SO DIFFERENT THAT I SHALL NEVER BE REMINDED OF HELSTONE
1686-142278-0082	DISCORDANT AS IT WAS WITH ALMOST A DETESTATION FOR ALL SHE HAD EVER HEARD OF THE NORTH OF ENGLAND THE MANUFACTURERS THE PEOPLE THE WILD AND BLEAK COUNTRY THERE WAS THIS ONE RECOMMENDATION IT WOULD BE DIFFERENT FROM HELSTONE AND COULD NEVER REMIND THEM OF THAT BELOVED PLACE
1686-142278-0083	WHEN DO WE GO
1686-142278-0084	I DO NOT KNOW EXACTLY
1686-142278-0085	I WANTED TO TALK IT OVER WITH YOU
1686-142278-0086	YOU SEE YOUR MOTHER KNOWS NOTHING ABOUT IT YET BUT I THINK IN A FORTNIGHT AFTER MY DEED OF RESIGNATION IS SENT IN I SHALL HAVE NO RIGHT TO REMAIN
1686-142278-0087	MARGARET WAS ALMOST STUNNED
1686-142278-0088	BUT SHE RECOVERED HERSELF IMMEDIATELY
1686-142278-0089	YES PAPA IT HAD BETTER BE FIXED SOON AND DECIDEDLY AS YOU SAY
1686-142278-0090	POOR POOR MARIA
1686-142278-0091	OH IF I WERE NOT MARRIED IF I WERE BUT MYSELF IN THE WORLD HOW EASY IT WOULD BE
1686-142278-0092	NO SAID MARGARET SADLY I WILL DO IT
1686-142278-0093	YOU MUST NOT DECEIVE YOURSELF INTO DOUBTING THE REALITY OF MY WORDS MY FIXED INTENTION AND RESOLVE
1686-142278-0094	HE LOOKED AT HER IN THE SAME STEADY STONY MANNER FOR SOME MOMENTS AFTER HE HAD DONE SPEAKING
1686-142278-0095	THE BLESSING OF GOD BE UPON THEE MY CHILD
1686-142278-0096	THE NEXT MOMENT SHE FEARED LEST THIS ANSWER TO HIS BLESSING MIGHT BE IRREVERENT WRONG MIGHT HURT HIM AS COMING FROM HIS DAUGHTER AND SHE THREW HER ARMS ROUND HIS NECK
1686-142278-0097	SHE HEARD HIM MURMUR TO HIMSELF THE MARTYRS AND CONFESSORS HAD EVEN MORE PAIN TO BEAR I WILL NOT SHRINK
1686-142278-0098	THEY WERE STARTLED BY HEARING MISSUS HALE INQUIRING FOR HER DAUGHTER
1701-141759-0000	IT WAS LONG SINCE THE ROSTOVS HAD NEWS OF NICHOLAS
1701-141759-0001	NOT TILL MIDWINTER WAS THE COUNT AT LAST HANDED A LETTER ADDRESSED IN HIS SON'S HANDWRITING
1701-141759-0002	ON RECEIVING IT HE RAN ON TIPTOE TO HIS STUDY IN ALARM AND HASTE TRYING TO ESCAPE NOTICE CLOSED THE DOOR AND BEGAN TO READ THE LETTER
1701-141759-0003	EACH TIME THAT THESE HINTS BEGAN TO MAKE THE COUNTESS ANXIOUS AND SHE GLANCED UNEASILY AT THE COUNT AND AT ANNA MIKHAYLOVNA THE LATTER VERY ADROITLY TURNED THE CONVERSATION TO INSIGNIFICANT MATTERS
1701-141759-0004	BUT FOR GOD'S SAKE BE CAREFUL YOU KNOW HOW IT MAY AFFECT YOUR MAMMA
1701-141759-0005	NO ON MY TRUE WORD OF HONOR SAID NATASHA CROSSING HERSELF I WON'T TELL ANYONE
1701-141759-0006	AND SHE RAN OFF AT ONCE TO SONYA
1701-141759-0007	SHE RUSHED TO SONYA HUGGED HER AND BEGAN TO CRY
1701-141759-0008	IT'S TRUE THAT ALL YOU WOMEN ARE CRYBABIES REMARKED PETYA PACING THE ROOM WITH LARGE RESOLUTE STRIDES
1701-141759-0009	YOU ARE ALL BLUBBERERS AND UNDERSTAND NOTHING
1701-141759-0010	NATASHA SMILED THROUGH HER TEARS
1701-141759-0011	WHAT NASTY BRUTES THEY ARE
1701-141759-0012	HOLD YOUR TONGUE PETYA WHAT A GOOSE YOU ARE
1701-141759-0013	SONYA SMILED DO I REMEMBER NICHOLAS
1701-141759-0014	I REMEMBER NIKOLENKA TOO I REMEMBER HIM WELL SHE SAID
1701-141759-0015	NO SHE SHUT HER EYES
1701-141759-0016	SHE FELT THAT SONYA WAS SPEAKING THE TRUTH THAT THERE WAS SUCH LOVE AS SONYA WAS SPEAKING OF
1701-141759-0017	SHE BELIEVED IT COULD BE BUT DID NOT UNDERSTAND IT
1701-141759-0018	SHALL YOU WRITE TO HIM SHE ASKED
1701-141759-0019	NOW THAT HE WAS ALREADY AN OFFICER AND A WOUNDED HERO WOULD IT BE RIGHT TO REMIND HIM OF HERSELF AND AS IT MIGHT SEEM OF THE OBLIGATIONS TO HER HE HAD TAKEN ON HIMSELF
1701-141759-0020	I DON'T KNOW
1701-141759-0021	SONYA SMILED NO
1701-141759-0022	IT'S BECAUSE SHE WAS IN LOVE WITH THAT FAT ONE IN SPECTACLES THAT WAS HOW PETYA DESCRIBED HIS NAMESAKE THE NEW COUNT BEZUKHOV AND NOW SHE'S IN LOVE WITH THAT SINGER HE MEANT NATASHA'S ITALIAN SINGING MASTER THAT'S WHY SHE'S ASHAMED
1701-141759-0023	PETYA YOU'RE A STUPID SAID NATASHA
1701-141759-0024	THE COUNTESS HAD BEEN PREPARED BY ANNA MIKHAYLOVNA'S HINTS AT DINNER
1701-141759-0025	ON RETIRING TO HER OWN ROOM SHE SAT IN AN ARMCHAIR HER EYES FIXED ON A MINIATURE PORTRAIT OF HER SON ON THE LID OF A SNUFFBOX WHILE THE TEARS KEPT COMING INTO HER EYES
1701-141759-0026	THE COUNT PUT HIS EAR TO THE KEYHOLE AND LISTENED
1701-141759-0027	AT FIRST HE HEARD THE SOUND OF INDIFFERENT VOICES THEN ANNA MIKHAYLOVNA'S VOICE ALONE IN A LONG SPEECH THEN A CRY THEN SILENCE THEN BOTH VOICES TOGETHER WITH GLAD INTONATIONS AND THEN FOOTSTEPS
1701-141759-0028	ANNA MIKHAYLOVNA OPENED THE DOOR
1701-141759-0029	WHEN SHE HEARD THIS SONYA BLUSHED SO THAT TEARS CAME INTO HER EYES AND UNABLE TO BEAR THE LOOKS TURNED UPON HER RAN AWAY INTO THE DANCING HALL WHIRLED ROUND IT AT FULL SPEED WITH HER DRESS PUFFED OUT LIKE A BALLOON AND FLUSHED AND SMILING PLUMPED DOWN ON THE FLOOR
1701-141759-0030	THE COUNTESS WAS CRYING
1701-141759-0031	FROM ALL HE SAYS ONE SHOULD BE GLAD AND NOT CRY
1701-141759-0032	HOW CHARMINGLY HE DESCRIBES SAID SHE READING THE DESCRIPTIVE PART OF THE LETTER AND WHAT A SOUL
1701-141759-0033	I ALWAYS SAID WHEN HE WAS ONLY SO HIGH I ALWAYS SAID
1701-141760-0000	THE PAVLOGRADS HELD FEAST AFTER FEAST CELEBRATING AWARDS THEY HAD RECEIVED FOR THE CAMPAIGN AND MADE EXPEDITIONS TO OLMUTZ TO VISIT A CERTAIN CAROLINE THE HUNGARIAN WHO HAD RECENTLY OPENED A RESTAURANT THERE WITH GIRLS AS WAITRESSES
1701-141760-0001	THE GUARDS HAD MADE THEIR WHOLE MARCH AS IF ON A PLEASURE TRIP PARADING THEIR CLEANLINESS AND DISCIPLINE
