1993-147149-0000	HOW INFINITE THE WEALTH OF LOVE AND HOPE GARNERED IN THESE SAME TINY TREASURE HOUSES AND OH
4572-64670-0012	NOW AS HIS SON IS FORCED TO FLY THE KING ERE LONG WILL SURELY DIE REFT OF HIS GUARDIAN HAND FORLORN IN WIDOWED GRIEF THIS LAND WILL MOURN
4572-64670-0013	BUT AH FOR SAD KAUSALYA HOW FARE SHE AND MINE OWN MOTHER NOW HOW FARES THE KING
4572-64670-0014	WITH HOPES UPON SATRUGHNA SET MY MOTHER MAY SURVIVE AS YET BUT THE SAD QUEEN WILL DIE WHO BORE THE HERO FOR HER GRIEF IS SORE
4572-64670-0015	TOO LATE THE KING WILL CRY AND CONQUERED BY HIS MISERY DIE
4572-64670-0016	WHEN FATE HAS BROUGHT THE MOURNFUL DAY WHICH SEES MY FATHER PASS AWAY HOW HAPPY IN THEIR LIVES ARE THEY ALLOWED HIS FUNERAL RITES TO PAY
4572-64670-0017	THUS BHARAT STOOD WITH MANY A SIGH LAMENTING AND THE NIGHT WENT BY
4572-64670-0018	WHEN GUHA SAW THE LONG ARMED CHIEF WHOSE EYE WAS LIKE A LOTUS LEAF WITH LION SHOULDERS STRONG AND FAIR HIGH METTLED PROSTRATE IN DESPAIR PALE BITTERLY AFFLICTED HE REELED AS IN EARTHQUAKE REELS A TREE
4572-64670-0019	KAUSALYA BY HER WOE OPPRESSED THE SENSELESS BHARAT'S LIMBS CARESSED AS A FOND COW IN LOVE AND FEAR CARESSES OFT HER YOUNGLING DEAR THEN YIELDING TO HER WOE SHE SAID WEEPING AND SORE DISQUIETED WHAT TORMENTS O MY SON ARE THESE OF SUDDEN PAIN OR SWIFT DISEASE
4572-64670-0020	THE LIVES OF US AND ALL THE LINE DEPEND DEAR CHILD ON ONLY THINE
4572-64670-0021	RAMA AND LAKSHMAN FORCED TO FLEE I LIVE BY NAUGHT BUT SEEING THEE FOR AS THE KING HAS PAST AWAY THOU ART MY ONLY HELP TO DAY
4572-64670-0022	SHOW ME THE COUCH WHEREON HE LAY TELL ME THE FOOD HE ATE I PRAY
4572-64670-0023	THEN CALM AND STILL ABSORBED IN THOUGHT HE DRANK THE WATER LAKSHMAN BROUGHT AND THEN OBEDIENT TO HIS VOWS HE FASTED WITH HIS GENTLE SPOUSE
4572-64670-0024	HERE STANDS THE TREE WHICH LENT THEM SHADE HERE IS THE GRASS BENEATH IT LAID WHERE RAMA AND HIS CONSORT SPENT THE NIGHT TOGETHER ERE THEY WENT
8288-274150-0000	AND AGAIN WHEN THE ARTIST FOLLOWING MALICORNE'S ADVICE WAS A LITTLE LATE IN ARRIVING AND WHEN SAINT AIGNAN HAD BEEN OBLIGED TO BE ABSENT FOR SOME TIME IT WAS INTERESTING TO OBSERVE THOUGH NO ONE WITNESSED THEM THOSE MOMENTS OF SILENCE FULL OF DEEP EXPRESSION WHICH UNITED IN ONE SIGH TWO SOULS MOST DISPOSED TO UNDERSTAND EACH OTHER AND WHO BY NO MEANS OBJECTED TO THE QUIET MEDITATION THEY ENJOYED TOGETHER
8288-274150-0001	IN A WORD MALICORNE PHILOSOPHER THAT HE WAS THOUGH HE KNEW IT NOT HAD LEARNED HOW TO INSPIRE THE KING WITH AN APPETITE IN THE MIDST OF PLENTY AND WITH DESIRE IN THE ASSURANCE OF POSSESSION
8288-274150-0002	IN THIS MANNER THEREFORE WITHOUT LEAVING HER ROOM AND HAVING NO CONFIDANTE SHE WAS ABLE TO RETURN TO HER APARTMENT THUS REMOVING BY HER APPEARANCE A LITTLE TARDY PERHAPS THE SUSPICIONS OF THE MOST DETERMINED SKEPTICS
8288-274150-0003	BUT THE DOOR REMAINED CLOSED AND NEITHER SAINT AIGNAN NOR THE PAINTER APPEARED NOR DID THE HANGINGS EVEN MOVE
8288-274150-0004	GO THEN DEAREST LOVE SAID THE KING BUT RETURN QUICKLY
8288-274150-0005	NO NO NOT TO DAY SIRE
8288-274150-0006	I KNEW BUT TOO WELL THAT YOU HAD NOT CEASED TO LOVE ME
8288-274150-0007	LA VALLIERE WITH A GESTURE PARTLY OF EXTREME TERROR AND PARTLY AS IF INVOKING A BLESSING ATTEMPTED TO SPEAK BUT COULD NOT ARTICULATE ONE WORD
8288-274150-0008	AT THE MOMENT HOWEVER WHEN THE KING THREW HIMSELF ON HIS KNEES A CRY OF UTTER DESPAIR RANG THROUGH THE CORRIDOR ACCOMPANIED BY THE SOUND OF RETREATING FOOTSTEPS
8288-274162-0000	THE CAPTAIN SITTING BURIED IN HIS LEATHERN ARMCHAIR HIS SPURS FIXED IN THE FLOOR HIS SWORD BETWEEN HIS LEGS WAS READING A NUMBER OF LETTERS AS HE TWISTED HIS MUSTACHE
8288-274162-0001	D'ARTAGNAN UTTERED A WELCOME FULL OF PLEASURE WHEN HE PERCEIVED HIS FRIEND'S SON
8288-274162-0002	RAOUL MY BOY HE SAID BY WHAT LUCKY ACCIDENT DOES IT HAPPEN THAT THE KING HAS RECALLED YOU
8288-274162-0003	THESE WORDS DID NOT SOUND AGREEABLY IN THE YOUNG MAN'S EARS WHO AS HE SEATED HIMSELF REPLIED UPON MY WORD I CANNOT TELL YOU ALL THAT I KNOW IS I HAVE COME BACK HUM
8288-274162-0004	THAT THE KING HAS NOT RECALLED YOU AND YOU HAVE RETURNED
8288-274162-0005	I DO NOT UNDERSTAND THAT AT ALL
8288-274162-0006	RAOUL WAS ALREADY PALE ENOUGH AND HE NOW BEGAN TO TURN HIS HAT ROUND AND ROUND IN HIS HAND
8288-274162-0007	WHAT THE DEUCE IS THE MATTER THAT YOU LOOK AS YOU DO AND WHAT MAKES YOU SO DUMB
8288-274162-0008	SAID THE CAPTAIN DO PEOPLE NOWADAYS ASSUME THAT SORT OF AIRS IN ENGLAND
8288-274162-0009	I HAVE BEEN IN ENGLAND AND CAME HERE AGAIN AS LIVELY AS A CHAFFINCH
8288-274162-0010	WILL YOU NOT SAY SOMETHING
8288-274162-0011	I HAVE TOO MUCH TO SAY
8288-274162-0012	AH HOW IS YOUR FATHER
8288-274162-0013	FORGIVE ME MY DEAR FRIEND I WAS GOING TO ASK YOU THAT
8288-274162-0014	D'ARTAGNAN INCREASED THE SHARPNESS OF HIS PENETRATING GAZE WHICH NO SECRET WAS CAPABLE OF RESISTING
8288-274162-0015	YOU ARE UNHAPPY ABOUT SOMETHING HE SAID
8288-274162-0016	I AM INDEED AND YOU KNOW THE REASON VERY WELL MONSIEUR D'ARTAGNAN
8288-274162-0017	NAY DO NOT PRETEND TO BE ASTONISHED
8288-274162-0018	I AM NOT PRETENDING TO BE ASTONISHED MY FRIEND
8288-274162-0019	I HAVE NEITHER HEAD NOR ARM DO NOT DESPISE BUT HELP ME IN TWO WORDS I AM THE MOST WRETCHED OF LIVING BEINGS OH OH
8288-274162-0020	SHE IS DECEIVING YOU SAID D'ARTAGNAN NOT A MUSCLE OF WHOSE FACE HAD MOVED THOSE ARE BIG WORDS WHO MAKES USE OF THEM
8288-274162-0021	EVERY ONE AH
8288-274162-0022	IF EVERY ONE SAYS SO THERE MUST BE SOME TRUTH IN IT
8288-274162-0023	NOT FOR A FRIEND FOR A SON
8288-274162-0024	THE DEUCE TAKE IT YOU ARE REALLY ILL FROM CURIOSITY
8288-274162-0025	NO IT IS NOT FROM CURIOSITY IT IS FROM LOVE
8288-274162-0026	GOOD ANOTHER BIG WORD
8288-274162-0027	I TELL YOU I LOVE LOUISE TO DISTRACTION
8288-274162-0028	WELL SUPPOSE IT WERE ONLY THAT
8288-274162-0029	NO SENSIBLE MAN EVER SUCCEEDED IN MAKING MUCH OF A BRAIN WHEN THE HEAD WAS TURNED
8288-274162-0030	I HAVE COMPLETELY LOST MY SENSES IN THE SAME WAY A HUNDRED TIMES IN MY LIFE
8288-274162-0031	YOU WOULD HEAR BUT YOU WOULD NOT UNDERSTAND ME YOU WOULD UNDERSTAND BUT YOU WOULD NOT OBEY ME
8288-274162-0032	OH TRY TRY
8288-274162-0033	I GO FAR EVEN IF I WERE UNFORTUNATE ENOUGH TO KNOW SOMETHING AND FOOLISH ENOUGH TO COMMUNICATE IT TO YOU YOU ARE MY FRIEND YOU SAY INDEED YES
8288-274162-0034	VERY GOOD I SHOULD QUARREL WITH YOU
8288-274162-0035	I NEVER COMPLAIN AS YOU KNOW BUT AS HEAVEN AND MY FATHER WOULD NEVER FORGIVE ME FOR BLOWING OUT MY BRAINS I WILL GO AND GET THE FIRST PERSON I MEET TO GIVE ME THE INFORMATION WHICH YOU WITHHOLD I WILL TELL HIM HE LIES AND AND YOU WOULD KILL HIM
8288-274162-0036	AND A FINE AFFAIR THAT WOULD BE SO MUCH THE BETTER WHAT SHOULD I CARE
8288-274162-0037	YOU NOW ASSUME A DIFFERENT TONE INSTEAD OF KILLING YOU WILL GET KILLED YOURSELF I SUPPOSE YOU MEAN VERY FINE INDEED
8288-274162-0038	HOW MUCH I SHOULD REGRET YOU
8288-274162-0039	OF COURSE I SHOULD GO ABOUT ALL DAY SAYING AH
8288-274162-0040	WHAT A FINE STUPID FELLOW THAT BRAGELONNE WAS
8288-274162-0041	AS GREAT A STUPID AS I EVER MET WITH
8288-274162-0042	GO THEN RAOUL GO AND GET YOURSELF DISPOSED OF IF YOU LIKE
8288-274162-0043	I HARDLY KNOW WHO CAN HAVE TAUGHT YOU LOGIC BUT DEUCE TAKE ME IF YOUR FATHER HAS NOT BEEN REGULARLY ROBBED OF HIS MONEY
8288-274162-0044	RAOUL BURIED HIS FACE IN HIS HANDS MURMURING NO NO I HAVE NOT A SINGLE FRIEND IN THE WORLD
8288-274162-0045	IDLE FANCIES MONSIEUR I DO NOT LAUGH AT YOU ALTHOUGH I AM A GASCON
8288-274162-0046	A CARPENTER WHAT DO YOU MEAN
8288-274162-0047	UPON MY WORD I DON'T KNOW SOME ONE TOLD ME THERE WAS A CARPENTER WHO MADE AN OPENING THROUGH A CERTAIN FLOORING
8288-274162-0048	OH I DON'T KNOW WHERE
8288-274162-0049	IN WHOSE ROOM THEN
8288-274162-0050	I HAVE TOLD YOU FOR THE LAST HOUR THAT I KNOW NOTHING OF THE WHOLE AFFAIR
8288-274162-0051	BUT THE PAINTER THEN THE PORTRAIT
8288-274162-0052	WHY YOU SEEM TO HAVE ONLY THAT NAME IN YOUR MOUTH
8288-274162-0053	I DO NOT SUPPOSE IT WILL CONCERN YOU
8288-274162-0054	YES YOU ARE RIGHT AND HE MADE A STEP OR TWO AS IF HE WERE GOING TO LEAVE WHERE ARE YOU GOING
8288-274162-0055	TO LOOK FOR SOME ONE WHO WILL TELL ME THE TRUTH
8288-274162-0056	WHO IS THAT A WOMAN
8288-274162-0057	YOU WISH TO BE CONSOLED BY SOME ONE AND YOU WILL BE SO AT ONCE SHE WILL TELL YOU NOTHING ILL OF HERSELF OF COURSE SO BE OFF
8288-274162-0058	YOU ARE MISTAKEN MONSIEUR REPLIED RAOUL THE WOMAN I MEAN WILL TELL ME ALL THE EVIL SHE POSSIBLY CAN
8288-274162-0059	WELL I ADMIT IT
8288-274162-0060	AND IN POINT OF FACT WHY SHOULD I PLAY WITH YOU AS A CAT DOES WITH A POOR MOUSE
8288-274162-0061	YOU DISTRESS ME YOU DO INDEED
8288-274162-0062	WAIT IF YOU CAN
8288-274162-0063	I CANNOT SO MUCH THE WORSE
8288-274162-0064	AH SAID RAOUL SNATCHING EAGERLY AT THE PEN WHICH THE CAPTAIN HELD OUT TO HIM
8288-274162-0065	HOW VERY FORTUNATE THAT IS HE WAS LOOKING FOR YOU TOO
8288-274162-0066	SHE SAID IN THE SAME TONE OF VOICE IT IS NOT I WHO AM GOING TO SPEAK TO HIM WHO THEN
